request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_27,72641.8,affordable_with_plan,installments,2026-07-05:6670,2026-07-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_28,689.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_31,13840360,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_32,33305.8,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_33,65180,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_35,125130,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_36,1446.6,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_37,12068800,affordable_later,wait,2024-03-17:14649000,2024-03-17,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_38,379.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_39,203105,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_40,894,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_41,24809250,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_42,148665,affordable_with_plan,installments,2026-01-05:52100,2026-01-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_43,15242750,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_44,79390,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_45,8833100,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_46,49450,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_48,116765,affordable_with_plan,installments,2026-07-25:45700,2026-07-25,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_49,20228793.34,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_52,28870,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_53,1423.42,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_54,16581.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_55,190041.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_57,21214.6,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_58,27712165,affordable_with_plan,installments,2024-12-07:16226000,2024-12-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_59,140600,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_60,283.69,affordable_with_plan,installments,2026-01-06:199.89,2026-01-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_61,110770.23,affordable_with_plan,installments,2024-03-03:29062,2024-03-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_63,98295,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_64,62473.01,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_65,13024,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_66,221820,affordable_with_plan,installments,2026-04-03:22200,2026-04-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_67,792.54,affordable_later,wait,2024-09-14:2094,2024-09-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_68,2091.6,affordable_now,full_payment,2025-02-07:2091.6,2025-02-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_70,93360,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_71,7485050,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_72,18137.13,affordable_with_plan,installments,2026-07-05:11330,2026-07-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,The requested amount can be paid now while keeping the required minimum balance.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_75,106867.87,affordable_with_plan,installments,2026-04-06:28270,2026-04-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_76,1538.8,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_77,107660.5,affordable_with_plan,installments,2025-11-05:60700,2025-11-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,The requested amount can be paid now while keeping the required minimum balance.
request_79,1104.08,affordable_later,wait,2024-09-14:2151.6,2024-09-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_80,158825,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_81,3428.25,affordable_with_plan,installments,2026-07-03:2076,2026-07-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_82,1102.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_83,31130,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_84,62645,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_85,2422120,affordable_later,wait,2024-04-17:19304000,2024-04-17,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_87,92850,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_88,15557.89,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_89,13756000,affordable_now,full_payment,2025-11-04:13756000,2025-11-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_90,24029.5,affordable_with_plan,installments,2026-07-06:2560,2026-07-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_91,2109.6,affordable_with_plan,installments,2024-09-03:1927.2,2024-09-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_93,2062.1,affordable_with_plan,installments,2026-04-07:1729.2,2026-04-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_95,137865,affordable_later,wait,2025-06-14:553000,2025-06-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_96,90200,affordable_now,full_payment,2026-01-03:90200,2026-01-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_98,17244.7,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_100,35863.53,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_101,278468.5,affordable_with_plan,installments,2025-11-03:143500,2025-11-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_102,1716,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_103,43249,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_105,73931.8,affordable_with_plan,installments,2026-06-08:53500,2026-06-08,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_106,1401.7,affordable_later,wait,2024-12-16:2207.7,2024-12-16,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_107,2534.4,affordable_now,full_payment,2025-05-05:2534.4,2025-05-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_108,7836.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_110,22352,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_112,526,affordable_with_plan,installments,2024-06-05:271.7,2024-06-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_113,59590,affordable_with_plan,installments,2026-09-04:36500,2026-09-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_114,105830,affordable_with_plan,installments,2026-01-04:65300,2026-01-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_115,27135,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_116,58075,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_117,1164.2,affordable_with_plan,installments,2026-07-05:880,2026-07-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_118,938.51,affordable_with_plan,installments,2024-12-07:738.1,2024-12-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_119,130901.01,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_120,11698680,affordable_with_plan,installments,2026-04-06:7714000,2026-04-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_122,44238744.99,affordable_with_plan,installments,2025-08-05:20558000,2025-08-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_124,2109.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_125,10727.97,affordable_with_plan,installments,2025-11-06:6468,2025-11-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_126,273475,affordable_with_plan,installments,2026-07-03:159600,2026-07-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_127,25058,affordable_with_plan,installments,2024-09-05:23980,2024-09-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_129,288,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_130,917.46,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_131,1855.2,affordable_now,full_payment,2025-05-03:1855.2,2025-05-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_133,15770000,affordable_now,full_payment,2024-03-07:15770000,2024-03-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_134,12118200,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_135,541.1,affordable_with_plan,installments,2026-07-06:304.8,2026-07-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_137,67960,affordable_later,wait,2025-11-14:80100,2025-11-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
